# _на-удаление — мёртвый код, найдено уборкой 15.08
# Метод: греп имени каждого файла по всему репо (без node_modules/.git/медиа), по НЕЙРОНКА/ЗАВОД-НОВЫЙ и по crontab.
# 0 упоминаний = никто не require и не вызывает. Ссылок без расширения (require('./имя')) тоже нет — проверено отдельно.
# Свежие файлы (13-15.08) НЕ переносились, даже если упоминаний нет.
# Вернуть файл: mv _на-удаление/ИМЯ ./

queue_supervisor.cjs.bak	бэкап старой версии queue_supervisor.cjs
queue_supervisor.cjs.bak2	побайтовый дубль .bak
addemail.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
addframe4.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
anyafix.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
anyaleads.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
attachmail.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-08
audiotest.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
avaudit.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
bancompare.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
batch.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
biodebug.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-05
blcheck.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
brandblast.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
capacity.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
chain.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
chk.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
cloudhours.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
cmdefence.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
contentbatch.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-04
cover_wave.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
daryagroom.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
dmdump.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmdump2.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmdump3.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmgrab.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmgrab2.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmhtml.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmhtml2.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmprobe.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmtext.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dmtop.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
dressbatch.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
dressmulti.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-05
dressup_nopw.cjs	не вызывается ниоткуда; аудит 14.08 велел удалить
dtop.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
enable2fa.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-08
engine_wave.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-06
enter2fa.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
fabwave.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
fabwave2.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
fabwave3.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
factorywatch.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
fetchposts.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
findsort.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
firstcomment.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
fix_anya34.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
fix_karina4.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
fixcaptions.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
fleet.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
folcnt.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-22
freepool.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
freeproxy.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
gateaudit.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
gatetransport.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
gencat.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
genlooks.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
geocross.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
geoscan.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
getmusic.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-03
glcheck.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
grab99.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
grab99all.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-28
greengate.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
gun.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-22
healthbatch.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
humanize6.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-05
iamlogin.py	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-11
igaudit.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
ingest.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
inlinelogin.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-23
latestpost.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-07
livecheck.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-31
loginchk.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-21
loginhere.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-01
luxbatch.sh	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-05
magosacc.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-09
magoscheck.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-10
markmasha.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-08-02
master.cjs	не вызывается ниоткуда (0 упоминаний), последняя правка 2026-07-22
mklinks_tmp.cjs	tmp-скрипт, не вызывается ниоткуда
